version,filename,header,obj,endobj,stream,endstream,xref,trailer,startxref,/Page,/Encrypt,/ObjStm,/JS,/JavaScript,/AA,/OpenAction,/AcroForm,/JBIG2Decode,/RichMedia,/Launch,/EmbeddedFile,/XFA,/Colors > 2^24,/JavaScript_hexcode_count,/RichMedia_hexcode_count,/EmbeddedFile_hexcode_count,/ObjStm_hexcode_count,/Encrypt_hexcode_count,/OpenAction_hexcode_count,/Page_hexcode_count,/JS_hexcode_count,/AcroForm_hexcode_count,/XFA_hexcode_count,/Launch_hexcode_count,/JBIG2Decode_hexcode_count,/AA_hexcode_count,Malware
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_37d46084b5a6d5d2e7f9c10ed74b7bbd_4439707,%PDF-1.5,146,146,61,59,1,1,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_38e549c5a876235ae4363c6aac9eb391_18336,%PDF-1.2,26,26,16,16,2,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_40e950a4825c1fbf459e16e50c2c82a8_163110,%PDF-1.5,20,20,8,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_41f5c2db4d5a341a7408bf715e39f8b5_101162,%PDF-1.7,52,52,11,11,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_42dcf17b709bd7a9235557b7731f4bbd_150042,%PDF-1.5,18,18,6,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_44e64ec17fcbefab37701268ebd4bf96_193237,%PDF-1.7,25,25,7,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_46e0c313057600b50811a5d7dcea3d29_261731,%PDF-1.4,8,8,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_47c7c7f86c4639b612043e1b822472b3_351486,%PDF-1.4,13,13,4,4,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_49fd5ed79891e41cfc04ced495cd9dc4_91542,%PDF-1.7 ,44,44,13,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_51cfe0b55758309847c86886056a8ba8_192753,%PDF-1.7,25,25,7,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
